config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
equator_3cell_w2.0,equator,equator_3cell,2.0,1.0,2,6,2.0,8,120,data/equator_3cell_w2.0__cell_+1.00.nc,4.5829181734549336e-05,6.573123532337732e-07,0.6213550389502102,5.5508335840966945e-05,4.892274683601616e-05,3.6403090132725266e-06,2.982996660038754e-06,0.9367663244290815,36936,8.100906191361226e-06,5.668507635609497e-06,6.781069911060912e-06,33.50988315502903,60.74601162755888,32.913016181095145,19.337578618287445
equator_hex1deg_w0.25,equator,equator_hex1deg,0.25,0.0,6,6,1.0,8,120,data/equator_hex1deg_w0.25__cell_+0.00.nc,1.567367785775481e-05,8.135253374262736e-07,0.9747124583247846,6.897171335742707e-05,6.995774153735322e-05,1.0401469808772603e-05,9.587944471346329e-06,0.22404493789134133,36936,5.5375198904562e-06,5.963093461854707e-06,1.3593522616180196e-06,99.32827447285801,99.0337595397757,96.7060849732235,6.523822178921164
equator_hex1deg_w0.5,equator,equator_hex1deg,0.5,0.0,6,6,1.0,8,120,data/equator_hex1deg_w0.5__cell_+0.00.nc,1.1091953857362171e-05,2.488247484670083e-07,0.9857229871685119,6.349899727514247e-05,6.553488162339614e-05,9.903189874421007e-06,9.654365125953999e-06,0.16925267250963205,36936,5.3259669764876275e-06,5.795151107229676e-06,9.597352653457182e-07,107.78546188182277,93.050619054078,90.68963465601908,6.0119425077054895
equator_hex1deg_w0.75,equator,equator_hex1deg,0.75,0.0,6,6,1.0,8,120,data/equator_hex1deg_w0.75__cell_+0.00.nc,1.1383210969650542e-05,-2.343057934745792e-07,0.9832590484398375,6.029288478923169e-05,6.225453727190012e-05,9.678357121332854e-06,9.912662914807432e-06,0.1828494993053075,36936,5.305466366472641e-06,5.703207310244532e-06,1.065415256148828e-06,96.25640712658664,88.180125222627,84.62239784908537,6.73201939843668
equator_hex1deg_w1.0,equator,equator_hex1deg,1.0,0.0,6,6,1.0,8,120,data/equator_hex1deg_w1.0__cell_+0.00.nc,1.2899514204367216e-05,-1.171795873660311e-07,0.9761753816888243,5.857696460482399e-05,5.938011882731834e-05,1.0034836762795434e-05,1.0152016350161465e-05,0.2172362477394148,36936,5.307688667369218e-06,5.56127010374631e-06,1.3275498120222167e-06,73.53849054580894,85.54134458717479,80.88037151223028,8.811712005379615
equator_hex1deg_w1.5,equator,equator_hex1deg,1.5,0.0,6,6,1.0,8,120,data/equator_hex1deg_w1.5__cell_+0.00.nc,1.6584125628020037e-05,1.0995812726400548e-06,0.9536486286559901,5.4726052123846733e-05,5.380788020549932e-05,1.1483784235065598e-05,1.0384202962425543e-05,0.30820997899718583,36936,5.123859650248208e-06,5.165310063214463e-06,1.924700886249437e-06,52.918364614515454,82.52870014261863,76.46295745860445,12.24527637466435
equator_hex1deg_w2.0,equator,equator_hex1deg,2.0,0.0,6,6,1.0,8,120,data/equator_hex1deg_w2.0__cell_+0.00.nc,2.0585334180481383e-05,1.8247929187212884e-06,0.9199425424005229,5.227743894640389e-05,4.869144677178435e-05,1.2630598377503208e-05,1.0805805458781919e-05,0.42277105211032967,36936,4.996970022182966e-06,4.695906368833399e-06,2.784283814208436e-06,36.967081580112776,82.02105611094674,73.42050725268223,17.52910893427425
equator_hex2deg_w0.25,equator,equator_hex2deg,0.25,0.0,4,4,2.0,8,120,data/equator_hex2deg_w0.25__cell_+0.00.nc,2.5738598763319057e-05,-2.8555882428008092e-06,0.8785609500512743,5.202709849269794e-05,5.1776323306640236e-05,7.226673983495331e-06,1.0082262226296142e-05,0.4971113651868386,36936,4.40028404865801e-06,4.699201055645277e-06,2.8550427591735447e-06,53.9638130074116,85.77442666669403,85.9397609854897,12.008046946404642
equator_hex2deg_w0.5,equator,equator_hex2deg,0.5,0.0,4,4,2.0,8,120,data/equator_hex2deg_w0.5__cell_+0.00.nc,1.7030744783525493e-05,-3.1571452548444638e-06,0.9417872391369965,4.817585222028483e-05,4.958212270583994e-05,6.4644713359513895e-06,9.621616590795853e-06,0.3434855922681091,36936,4.282885119549709e-06,4.6874254771714075e-06,3.701134900241875e-06,14.013087144641599,80.37989609108025,79.22449577529535,46.242486991725144
equator_hex2deg_w0.75,equator,equator_hex2deg,0.75,0.0,4,4,2.0,8,120,data/equator_hex2deg_w0.75__cell_+0.00.nc,1.326635621986876e-05,-2.7733074587920266e-06,0.9616025898428917,4.6157235402917095e-05,4.718410615202928e-05,7.0736175500519314e-06,9.846925008843956e-06,0.28116154573584534,36936,4.303009332078749e-06,4.624517035268604e-06,2.785663063860265e-06,14.298019133592033,76.67083517806294,74.59480348708126,45.32096327088951
