config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,norm_rms,n
equator_3cell_w0.5,equator,equator_3cell,0.5,0.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_+0.00.nc,2.0475022030180932e-05,1.967987024033593e-07,0.8367363869179631,3.5790624822608943e-05,3.586853702592327e-05,0.5708351588296734,20736
equator_3cell_w0.5,equator,equator_3cell,0.5,1.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_+1.00.nc,3.0430875552361425e-05,-2.5526379752050524e-06,0.8194700604229387,4.389606078537045e-05,5.2900991677025624e-05,0.5752420623444995,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_-1.00.nc,2.0575948412998827e-05,-3.989472956398798e-06,0.8748404887209068,3.5927812225534284e-05,4.165658360368982e-05,0.4939422927418433,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,0.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_+0.00.nc,1.8903452302230803e-05,8.302477939505963e-07,0.8406261230186625,3.23923553731886e-05,3.421926585889171e-05,0.5524213283879915,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,1.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_+1.00.nc,2.7554117380946652e-05,-1.8528423221588888e-06,0.8369921706710463,3.6540751094640015e-05,4.945150723373814e-05,0.5571946927867942,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,-1.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_-1.00.nc,1.8714191166487128e-05,-3.46024255742561e-06,0.8880092541478719,3.298879533137842e-05,3.96936978916034e-05,0.47146504761517394,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,0.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_+0.00.nc,1.7330588612642356e-05,1.4669101654332525e-06,0.8547808820417242,2.978533974706999e-05,3.315665940526371e-05,0.5226880187420534,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,1.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_+1.00.nc,2.618397942448542e-05,-1.3036777979871952e-06,0.8392923516065255,3.0906549552868705e-05,4.597836404530543e-05,0.5694847993870479,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,-1.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_-1.00.nc,1.6847708828898737e-05,-3.372231538389911e-06,0.8907778469055327,3.070266212418345e-05,3.616976316668526e-05,0.4657953869163453,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,0.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_+0.00.nc,1.680404099787646e-05,1.6141414362347064e-06,0.8378430476693083,2.5910685455390694e-05,3.063608088862229e-05,0.5485049167668569,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,1.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_+1.00.nc,2.5886178410106827e-05,2.7693757471984246e-07,0.7637732091586314,2.7530727912287055e-05,3.984799385971836e-05,0.6496231278602638,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,-1.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_-1.00.nc,1.6744537315483686e-05,-4.540548245081941e-06,0.8706276020968758,3.064300409620005e-05,3.2381220034459214e-05,0.5171064369305605,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,0.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_+0.00.nc,1.8073916859251777e-05,2.077329995995348e-06,0.7729502614399494,2.4344725934442142e-05,2.7970122454511857e-05,0.6461865474005558,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,1.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_+1.00.nc,2.864787242639123e-05,1.4425154972098925e-07,0.638208779919607,3.133305089204865e-05,3.545021050423997e-05,0.8081157211454314,20736
equator_hex1deg_w0.25,equator,equator_hex1deg,0.25,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.25__cell_+0.00.nc,1.511256012331658e-05,-1.1518365330671121e-06,0.9649589839623998,3.680216981723363e-05,4.708006870169381e-05,0.320996985350042,20736
