config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
symhex_d0.3_c+0.0,symhex,symhex_d0.3,0.15,0.0,6,6,0.3,8,80,data_1day/symhex_d0.3_c+0.0__cell_+0.00.nc,3.5363091492192223e-06,6.174166001903825e-07,0.9984796570209917,6.244861568324269e-05,6.182913803446074e-05,3.7900798582509055e-06,3.172663258060524e-06,0.05719486413102257,2997,1.0666002506757398e-05,1.164698359238207e-05,9.585472548392368e-07,31.245289491164225,23.714214074238345,23.93920138813135,2.592390767347692
symhex_d0.3_c+0.5,symhex,symhex_d0.3,0.15,0.5,6,6,0.3,8,80,data_1day/symhex_d0.3_c+0.5__cell_+0.50.nc,4.74410293358118e-06,-1.4452275683215774e-07,0.9978924033178838,7.28741942230683e-05,7.236874327717677e-05,4.170183862142088e-06,4.314706618974246e-06,0.06555458501484504,2997,1.074261709468072e-05,1.1629480070846315e-05,1.1012673239692853e-06,39.19449358755873,33.44626560837098,32.99283880082369,2.0666168276686534
symhex_d0.5_c-0.5,symhex,symhex_d0.5,0.25,-0.5,6,6,0.5,8,80,data_1day/symhex_d0.5_c-0.5__cell_-0.50.nc,4.0583965934534885e-06,-1.4074635429764888e-07,0.9979377280691205,6.263326733119151e-05,6.196821211672227e-05,1.7673069223002268e-05,1.7813815577299916e-05,0.06549158761929684,2997,1.2901676327855285e-05,1.388710472322946e-05,1.0104807296441071e-06,31.704891601753584,17.30282336963092,17.02195776287586,2.554810816496213
symhex_d0.5_c+0.0,symhex,symhex_d0.5,0.25,0.0,6,6,0.5,8,80,data_1day/symhex_d0.5_c+0.0__cell_+0.00.nc,3.854174911994376e-06,-2.534885267313873e-07,0.9974806357070449,5.416387803465437e-05,5.4191069383876936e-05,2.797931977387675e-06,3.0514205041190627e-06,0.07112195710131307,2997,8.117110220671734e-06,9.034456677569298e-06,9.750543290923277e-07,31.450564330238237,29.959377331868662,30.74394637753262,2.5754704796225965
symhex_d0.5_c+0.5,symhex,symhex_d0.5,0.25,0.5,6,6,0.5,8,80,data_1day/symhex_d0.5_c+0.5__cell_+0.50.nc,4.992377154149801e-06,6.136399113034941e-07,0.9970160098650482,6.405935358157704e-05,6.35622493406966e-05,4.401102294014146e-06,3.7874623827106503e-06,0.0785431164871216,2997,1.0090683194586572e-05,1.0869649419085223e-05,1.072586131166458e-06,35.05700481898089,29.536859741977967,28.849477631946066,2.310522545158913
symhex_d0.75_c-0.5,symhex,symhex_d0.75,0.375,-0.5,6,6,0.75,8,80,data_1day/symhex_d0.75_c-0.5__cell_-0.50.nc,6.001165496766316e-06,3.9169881982870384e-07,0.9945702130884828,5.6181982506155206e-05,5.458220811680931e-05,1.735320309838545e-05,1.6961504278556744e-05,0.10994728325983899,2997,1.1336030297827574e-05,1.2098941356380812e-05,9.227509534430893e-07,39.8811968795681,17.560267325164986,17.517457571269826,2.031032324446056
symhex_d0.75_c+0.0,symhex,symhex_d0.75,0.375,0.0,6,6,0.75,8,80,data_1day/symhex_d0.75_c+0.0__cell_+0.00.nc,5.6689399430079034e-06,-1.0070987936910326e-06,0.992543715899899,4.556748352199443e-05,4.575086512090666e-05,4.715443117119228e-06,5.722541910810261e-06,0.12390891249873616,2997,4.827093851425325e-06,5.353514979189726e-06,9.275440214982293e-07,42.662613718352794,60.099828577577036,60.744244894495736,1.898617851562973
symhex_d0.75_c+0.5,symhex,symhex_d0.75,0.375,0.5,6,6,0.75,8,80,data_1day/symhex_d0.75_c+0.5__cell_+0.50.nc,6.296639678451317e-06,9.963719055733015e-07,0.9942943603333815,5.827998097473712e-05,5.786723491067459e-05,3.143307759249375e-06,2.146935853676077e-06,0.10881182914944836,2997,9.743870753989481e-06,1.0505159926882232e-05,1.1403002972983549e-06,35.52801506987322,26.069187489318164,25.532192864896125,2.2798909491762114
symhex_d1.0_c-0.5,symhex,symhex_d1.0,0.5,-0.5,6,6,1.0,8,80,data_1day/symhex_d1.0_c-0.5__cell_-0.50.nc,8.41337986190898e-06,-1.1524488914539819e-07,0.9855186450810796,4.956938648486961e-05,4.850228356564884e-05,1.4211125537156027e-05,1.4326370426301427e-05,0.1734635824006368,2997,9.308082068333359e-06,1.0241359639307957e-05,1.5469581415264224e-06,25.655957009763735,19.277548390290747,20.144347968427745,3.1571615110352074
symhex_d1.0_c+0.0,symhex,symhex_d1.0,0.5,0.0,6,6,1.0,8,80,data_1day/symhex_d1.0_c+0.0__cell_+0.00.nc,5.65912575477985e-06,-3.8197878114459166e-07,0.9900252933902175,4.007092494114834e-05,3.975607500601515e-05,6.993609269443823e-06,7.375588050588415e-06,0.14234618870005694,2997,4.146519780244213e-06,4.501553136343416e-06,7.894066553501174e-07,49.69711439385497,63.56949535277742,63.19120046828149,1.6298733032679986
symhex_d1.0_c+0.5,symhex,symhex_d1.0,0.5,0.5,6,6,1.0,8,80,data_1day/symhex_d1.0_c+0.5__cell_+0.50.nc,7.177831709957282e-06,1.5006204692267021e-06,0.9912654914741066,5.317708473257219e-05,5.300623572022153e-05,2.842975792164214e-06,1.342355322937512e-06,0.13541485473225157,2997,9.302968467909421e-06,1.0010438558983173e-05,1.1255818732723747e-06,42.09124344213722,23.925317002485283,23.148753415036637,1.9243907610225532
symsq_d0.3_c-0.5,symsq,symsq_d0.3,0.15,-0.5,4,4,0.21213203435596423,8,80,data_1day/symsq_d0.3_c-0.5__cell_-0.50.nc,1.1189299765277804e-05,1.5221448629636888e-06,0.9880084911993723,7.167861329032472e-05,7.018520927286944e-05,1.9213520851474994e-05,1.769137598851131e-05,0.15942532452636146,2997,1.341823300968945e-05,1.4655726920144844e-05,1.1970327878894445e-06,77.55597369433819,20.03037160202642,20.673229961347573,1.0444069765565103
symsq_d0.3_c+0.0,symsq,symsq_d0.3,0.15,0.0,4,4,0.21213203435596423,8,80,data_1day/symsq_d0.3_c+0.0__cell_+0.00.nc,7.678189928190115e-06,-3.282419426574051e-07,0.9929082871976875,6.358568476904764e-05,6.182913803446074e-05,2.8444213154031192e-06,3.172663258060524e-06,0.12418400405178934,2997,1.0777397156355944e-05,1.164698359238207e-05,1.0455884046956723e-06,46.57913541344151,23.714214074238345,24.347309576845856,1.7389760303843151
symsq_d0.3_c+0.5,symsq,symsq_d0.3,0.15,0.5,4,4,0.21213203435596423,8,80,data_1day/symsq_d0.3_c+0.5__cell_+0.50.nc,1.1658921998369405e-05,1.051797899982562e-06,0.9884827198982044,7.539290507052372e-05,7.236874327717677e-05,5.366504518956808e-06,4.314706618974246e-06,0.16110438665094698,2997,1.110786367167294e-05,1.1629480070846315e-05,1.3246486125839942e-06,57.91861800156462,33.44626560837098,32.88355860714753,1.3985140321858485
symsq_d0.5_c-0.5,symsq,symsq_d0.5,0.25,-0.5,4,4,0.35355339059327373,8,80,data_1day/symsq_d0.5_c-0.5__cell_-0.50.nc,1.3403172148810908e-05,1.284701667541066e-06,0.9798670295002871,6.571335063871828e-05,6.196821211672227e-05,1.9098517244840982e-05,1.7813815577299916e-05,0.21629109007639144,2997,1.2974383503135967e-05,1.388710472322946e-05,1.447237187875177e-06,59.06473547769463,17.30282336963092,18.422629097832225,1.3713766657024826
symsq_d0.5_c+0.0,symsq,symsq_d0.5,0.25,0.0,4,4,0.35355339059327373,8,80,data_1day/symsq_d0.5_c+0.0__cell_+0.00.nc,1.149363944299718e-05,-1.8912405742765853e-06,0.9795860847660978,5.622373503932032e-05,5.4191069383876936e-05,1.1601799298424768e-06,3.0514205041190627e-06,0.21209471548861514,2997,8.460249730453033e-06,9.034456677569298e-06,1.6774089306798323e-06,34.666264604173534,29.959377331868662,30.57260971030694,2.336565560924273
symsq_d0.5_c+0.5,symsq,symsq_d0.5,0.25,0.5,4,4,0.35355339059327373,8,80,data_1day/symsq_d0.5_c+0.5__cell_+0.50.nc,1.4225478049358268e-05,1.51825396322477e-06,0.9768874843881007,6.602519281415488e-05,6.35622493406966e-05,5.305716345935421e-06,3.7874623827106503e-06,0.22380388039933968,2997,1.0548961634623071e-05,1.0869649419085223e-05,1.412836795143903e-06,75.25049970476935,29.536859741977967,27.780162429228437,1.0764048121645395
symsq_d0.75_c-0.5,symsq,symsq_d0.75,0.375,-0.5,4,4,0.5303300858899106,8,80,data_1day/symsq_d0.75_c-0.5__cell_-0.50.nc,1.5151246784271205e-05,1.0707667330798579e-07,0.9682888220769488,5.9454047691469904e-05,5.458220811680931e-05,1.706858095186473e-05,1.6961504278556744e-05,0.27758581609315985,2997,1.1552835307171118e-05,1.2098941356380812e-05,2.1002544712758157e-06,34.527495672789996,17.560267325164986,18.90595783490198,2.345956415942251
symsq_d0.75_c+0.0,symsq,symsq_d0.75,0.375,0.0,4,4,0.5303300858899106,8,80,data_1day/symsq_d0.75_c+0.0__cell_+0.00.nc,1.2688426694844762e-05,-1.751985090206879e-06,0.9635690639282289,4.6946729902812433e-05,4.575086512090666e-05,3.9705568206033824e-06,5.722541910810261e-06,0.27733741561635655,2997,5.022655978024363e-06,5.353514979189726e-06,1.4270894600798629e-06,59.82260808492397,60.099828577577036,59.47149145116491,1.3540031535404253
symsq_d0.75_c+0.5,symsq,symsq_d0.75,0.375,0.5,4,4,0.5303300858899106,8,80,data_1day/symsq_d0.75_c+0.5__cell_+0.50.nc,1.5302288100705314e-05,1.5398892878370423e-06,0.9675543230435372,6.0234412580134045e-05,5.786723491067459e-05,3.6868251415131195e-06,2.146935853676077e-06,0.2644378658203789,2997,1.0215265643543229e-05,1.0505159926882232e-05,1.769716156627852e-06,54.67685067188285,26.069187489318164,24.60231230352466,1.4814313371134527
symsq_d1.0_c-0.5,symsq,symsq_d1.0,0.5,-0.5,4,4,0.7071067811865475,8,80,data_1day/symsq_d1.0_c-0.5__cell_-0.50.nc,1.49510459218993e-05,-2.0295004572258377e-07,0.9597334398147268,5.2701905289103815e-05,4.850228356564884e-05,1.4123420380578843e-05,1.4326370426301427e-05,0.30825447427980895,2997,1.0092741588519347e-05,1.0241359639307957e-05,2.2568514512305375e-06,30.28010314034383,19.277548390290747,19.42593875605886,2.675023913378924
symsq_d1.0_c+0.0,symsq,symsq_d1.0,0.5,0.0,4,4,0.7071067811865475,8,80,data_1day/symsq_d1.0_c+0.0__cell_+0.00.nc,1.2902688391513507e-05,-1.7055777391191403e-06,0.9499970504537139,4.084359355287046e-05,3.975607500601515e-05,5.670010311469275e-06,7.375588050588415e-06,0.32454633385114884,2997,4.155979772895811e-06,4.501553136343416e-06,1.5926007331750514e-06,48.279240296339104,63.56949535277742,64.94826522396885,1.6777397387121278
symsq_d1.0_c+0.5,symsq,symsq_d1.0,0.5,0.5,4,4,0.7071067811865475,8,80,data_1day/symsq_d1.0_c+0.5__cell_+0.50.nc,1.6668924245301288e-05,3.178632414173031e-06,0.9545602293139467,5.486495487579182e-05,5.300623572022153e-05,4.520987737110542e-06,1.342355322937512e-06,0.3144710055111913,2997,9.52005226387271e-06,1.0010438558983173e-05,1.963419511573331e-06,49.8063682469205,23.925317002485283,23.295297927984176,1.6262980588834277
