config,shape,diameter,depth,pair,js2d,js2d_null,js2d_null_p95,corr_obs,corr_true,cov_obs,cov_true,n_obs,n_true
symsq_d0.3_c+0.0,square,0.3,75m,T-S,0.5300967793029364,0.6321929182852521,0.7455334488676488,0.5443171743890488,0.5732812663000894,0.024724596180964828,0.025233022374357886,864,13824
symsq_d0.3_c+0.0,square,0.3,depthavg,velocity U-V,0.535545515042734,0.6691941871300222,0.7602886016978924,0.4073659732835724,0.41250138333615877,0.022662496211857817,0.02278680073886277,864,13824
symsq_d0.3_c+0.0,square,0.3,depthavg,Reynolds stress u'v',0.5294509419637764,0.6767013797962255,0.762734800634064,0.4080128303133683,0.412725785907789,0.02268135880240395,0.02279326890501459,864,13824
symsq_d0.3_c+0.0,square,0.3,depthavg,zonal heat flux u'T',0.48546401554375107,0.6122180457926556,0.7046599350042388,0.42725098004625617,0.4536693302214715,0.03530212520953396,0.03702841903356197,864,13824
symsq_d0.3_c+0.0,square,0.3,depthavg,merid. heat flux v'T',0.5219498048017444,0.6647552189221587,0.759237968552425,-0.0802056801357416,-0.0738230190408644,-0.008708742998992852,-0.008027050284630102,864,13824
symsq_d0.3_c+0.0,square,0.3,depthavg,vertical heat flux w'T',0.5271216286169301,0.6883049410519163,0.7542976545134248,0.12105309566313191,0.035777162675914166,4.1852228031565935e-06,1.24184495383456e-06,864,13824
symsq_d0.3_c+0.0,square,0.3,depthavg,T-S,0.46712189852483543,0.6130674575095115,0.7081227984654169,0.33365173982090623,0.3477338235473099,0.0142535284047264,0.014790727518569404,864,13824
symsq_d0.5_c+0.0,square,0.5,25m,velocity U-V,0.5760645603162008,0.6795604755174341,0.7751955438699023,0.44317540419108353,0.4575609056946094,0.028968622782191464,0.03027046773160997,864,31104
symsq_d0.5_c+0.0,square,0.5,25m,Reynolds stress u'v',0.5764510104881707,0.6650923515023321,0.7909019285820412,0.44392135144077993,0.45770948680715956,0.028988154220420684,0.03027116141977691,864,31104
symsq_d0.5_c+0.0,square,0.5,25m,zonal heat flux u'T',0.5281446100230507,0.6270231448935402,0.7378085128365335,0.2914899253482548,0.34319289959441357,0.027566424708836933,0.03161039563041994,864,31104
symsq_d0.5_c+0.0,square,0.5,25m,merid. heat flux v'T',0.5460820883257183,0.6439338943076928,0.7562669558224518,-0.1341252259285179,-0.12789106139450576,-0.016115534927694315,-0.015198632891365315,864,31104
symsq_d0.5_c+0.0,square,0.5,25m,vertical heat flux w'T',0.48982678916451466,0.6208379081502923,0.7153053974166911,0.15071245708299977,0.08918321917986043,4.1280894774167785e-06,2.5883809001582e-06,864,31104
symsq_d0.5_c+0.0,square,0.5,25m,T-S,0.5048704962468187,0.5879559173438761,0.6918277902173782,0.01926519291668769,0.04595635058197545,0.0009907562001572532,0.0023091845735503883,864,31104
symsq_d0.5_c+0.0,square,0.5,50m,velocity U-V,0.5626062678916663,0.6644676624141994,0.7767868507808459,0.36146574563557127,0.379528076538314,0.020868141175440037,0.02168670622378544,864,31104
symsq_d0.5_c+0.0,square,0.5,50m,Reynolds stress u'v',0.5714884997857531,0.6725044937976665,0.7901461553389965,0.3632066957473955,0.3801036155190798,0.02093652066733858,0.021707399207973595,864,31104
symsq_d0.5_c+0.0,square,0.5,50m,zonal heat flux u'T',0.525929134983064,0.6201425884500025,0.7427286845597935,0.3510442947279885,0.4110791018901854,0.030038812271839105,0.03399189036731586,864,31104
symsq_d0.5_c+0.0,square,0.5,50m,merid. heat flux v'T',0.5779570105045853,0.6731779878152305,0.7787631583453066,-0.05215208743638812,-0.04849075378761964,-0.005867529440821375,-0.005432347410524981,864,31104
symsq_d0.5_c+0.0,square,0.5,50m,vertical heat flux w'T',0.5227387497029538,0.6276431319353947,0.7477876559216685,0.062340293250308806,0.06954584960778123,2.7430276910464e-06,3.131458069313787e-06,864,31104
symsq_d0.5_c+0.0,square,0.5,50m,T-S,0.5556481207811879,0.5955041771426848,0.7385164738712259,0.2472487381932503,0.28619309054042635,0.011094673143003032,0.012522918811655456,864,31104
symsq_d0.5_c+0.0,square,0.5,75m,velocity U-V,0.6098035951819079,0.7116033538609878,0.7940966872490305,0.21599172206826314,0.24475303905431875,0.010567196243595338,0.012134381488556032,864,31104
