config,shape,diameter,depth,field,js,js_null,js_null_p95,wasserstein,w_null,w_null_p95,obs_mean,true_mean,obs_std,true_std,obs_skew,true_skew,n_obs,n_true
symhex_d0.75_c+0.0,hexagon,0.75,50m,W,0.10284683483904598,0.14651355304296335,0.21513598691594302,5.581708494522099e-06,8.732535266704324e-06,2.0046941345403697e-05,1.1692276312520887e-05,6.2333365171376584e-06,0.00010961135112761864,0.00011388929672710573,-0.6282812341991139,-0.8984740730281626,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,50m,sigma0,0.09332849665950348,0.17368080946099076,0.2832834950127472,0.006361916829232894,0.011628760088035671,0.024345710506801458,23.26355567604031,23.26877002819531,0.13410222705789088,0.12955090828487262,-0.12193737153606683,0.05653754066233786,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,75m,T,0.09678328688496617,0.17045171757897515,0.2617044080762725,0.03082533453152593,0.03677856926053017,0.062341711359719415,25.156415408170904,25.12767021095863,0.5615078302229024,0.559542048253621,-0.4306198128648382,-0.3956523715978869,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,75m,S,0.12555009883764826,0.18815570296793155,0.3272290641784178,0.005634205595892211,0.013898224675813857,0.031178277855118123,35.18351727908166,35.18575489948745,0.09050465345145985,0.08400142583842679,0.02479065096621986,0.14357968278831207,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,75m,U,0.0953907649465408,0.15595128983897896,0.24497567873440915,0.014881601606657982,0.014473075541455403,0.02248974120191256,0.2384989821927083,0.25338058379936623,0.214347565054323,0.21738428352000952,0.3241570804685504,0.36902851659942587,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,75m,V,0.0768232154858999,0.15087093186150202,0.19895732570184607,0.003229390784517126,0.007603435866688192,0.011847875754434264,-0.024632116564444077,-0.02596660831650555,0.23036384408515054,0.22809161975216,-0.01879714073000037,-0.0049959386151294145,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,75m,W,0.10075240766087204,0.14647808119085368,0.2258137255514679,6.431418510322414e-06,7.13703054380437e-06,1.2019861669005682e-05,1.6455484660604917e-05,1.0592725243888891e-05,0.00012178457438604919,0.00012440602202580872,-0.02577453021660511,-0.15246336694604107,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,75m,sigma0,0.11465466508443849,0.1757730095410292,0.2606194743620969,0.01082747038624241,0.01282724670383061,0.02530958448856935,23.433073933196475,23.443563215891825,0.1490241797545589,0.14652917435295665,0.07807477842402155,0.1735974984485303,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,depthavg,T,0.0959731641880053,0.17240034588637504,0.270392245846569,0.016078480408682087,0.020875569824403046,0.03487179858749547,25.550834479752417,25.535125755233533,0.40776757619772547,0.4035317841069565,-0.5964519455042835,-0.6814740226798326,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,depthavg,S,0.10789971473571668,0.1552045136190197,0.2710717056151139,0.002245794037675287,0.010506071649534451,0.022695113224690554,35.14435898212778,35.14613034362976,0.10796476528605149,0.10676091625678834,0.05002384796855598,0.07612681817582083,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,depthavg,U,0.1066266519831179,0.15989899660902968,0.2343253293651714,0.007530780422257771,0.009040833735926046,0.013889676194049086,-0.008150783888524854,-0.0008125591107617812,0.20588414981212735,0.20501784189460934,0.14102998157500854,0.1821802406840994,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,depthavg,V,0.08316756943747862,0.1488036333392092,0.2618581414614441,0.003193210197737306,0.006789299796840627,0.012341056271585035,-0.0195223587992776,-0.018809562247904713,0.26793597600272046,0.26973944946773803,-0.000806549058719516,0.011314688051412754,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,depthavg,W,0.09916325224213804,0.15879916465686256,0.23987223728874085,4.692573027713764e-06,7.340532277213211e-06,1.651276179507495e-05,1.0391880321707323e-05,5.776596700997955e-06,8.793898930191347e-05,9.071944583503447e-05,-0.49657933175886426,-0.7173040287352538,1296,55296
symhex_d0.75_c+0.0,hexagon,0.75,depthavg,sigma0,0.1110007729410286,0.18547251717510616,0.2831129520251704,0.006583731552741326,0.012655093280625324,0.024762145318877157,23.282476671778316,23.288678006810887,0.12883031289573926,0.12465167426064927,-0.013621136466475338,0.1518772891123779,1296,55296
symhex_d1.0_c+0.0,hexagon,1.0,25m,T,0.11337849677576761,0.16994733582340693,0.25639179508051907,0.02210012052889723,0.04002582976190502,0.08433135981688039,25.728756252420343,25.709325301675708,0.4343460234023136,0.4198268356822061,-0.2830651698586754,-0.5567001419286698,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,25m,S,0.12454729624890289,0.16778450556162788,0.25195731210018435,0.003449268501960948,0.012594682872233545,0.02629574809344375,35.12589140849999,35.12759785728869,0.12222640274214483,0.12242458752805507,-0.1264504807749848,-0.11946570678739077,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,25m,U,0.08328188221780101,0.161808145517736,0.2778825765190313,0.00752877584602942,0.009837011283286606,0.017753009733415537,-0.12634051983502745,-0.11929178655969892,0.22760512282498735,0.2265578819139952,-0.05906058965285939,-0.0034354175393269647,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,25m,V,0.10838525271061203,0.1381916949236403,0.2043027413654037,0.0072337934967963095,0.00908727093214855,0.01461997982847048,-0.01947064336629026,-0.017717698112943887,0.2818389303396825,0.2879252838807946,-0.015205997023014632,-0.003625961928794441,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,25m,W,0.09948117987893451,0.1494447456864132,0.19802840823320775,3.6403435276509335e-06,6.262642088486245e-06,1.1009150234763993e-05,7.138019614911287e-06,4.533456769952614e-06,7.392952521737819e-05,7.516344584741922e-05,-1.1990125814028978,-1.4853249084336637,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,25m,sigma0,0.12986356090764434,0.19209444469234546,0.2891907000165103,0.009359420427971691,0.019322336811234644,0.039416175444260036,23.21367481919083,23.22103565766316,0.1636372164744108,0.15783299896352482,-0.4865857797185442,-0.290161152168125,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,50m,T,0.11734295127613899,0.15049076985805535,0.24191355816496546,0.023713370741832124,0.027703145567034154,0.04849213657496627,25.62205027343408,25.599354236775998,0.4242113277437801,0.41140911573403777,-0.410930941254612,-0.5949411909383047,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,50m,S,0.10530750174235017,0.16984859493448995,0.28066782882328895,0.003703409762638631,0.013786110947755895,0.03129977926454217,35.13759178461345,35.14014896405516,0.11206928043123905,0.10981266401752,-0.04418699927697638,0.03484513434660138,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,50m,U,0.09536095975894253,0.14834726458472083,0.21429518301013192,0.012902433522807613,0.011772459494852339,0.02665322197621073,-0.03435280722984823,-0.02163745929692132,0.21094344210536867,0.20810035222631118,0.08360955480578934,0.13611435414045445,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,50m,V,0.09894203613492672,0.1352130611945575,0.18696844589993666,0.005437126663731695,0.007484856697035617,0.012721120232856169,-0.02167161373722496,-0.020048446807228882,0.2723360498670515,0.27583949175043576,-0.012865977396809176,-0.0016494012343720654,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,50m,W,0.0932777218289834,0.14218399258384037,0.1799437707326179,5.489910515858526e-06,8.948520280142568e-06,1.8948767719447133e-05,1.1483360376064693e-05,8.376765539494088e-06,0.00012071816911288814,0.00011743166162003624,-0.9980335598996831,-1.1607859026044391,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,50m,sigma0,0.10041998424555768,0.16963081816413675,0.25143926363710456,0.01025626706598684,0.013679514199301981,0.02833486948093059,23.25563041747298,23.264620692949354,0.14131143267469048,0.13339333812360743,-0.3360304646322367,-0.09754827287608892,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,75m,T,0.09279426780249207,0.15856548452941835,0.25612861879863996,0.04660762528880845,0.048982216212077226,0.12316183919510816,25.189401196598904,25.145866020705807,0.5632085638693495,0.5622974913229988,-0.5172563556961223,-0.43028089048193974,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,75m,S,0.12457157108678198,0.2080795712092046,0.33400293604908526,0.007626429959112386,0.019485951484820973,0.049370474009602164,35.179241328021725,35.18402191850716,0.09788084596159835,0.08838354460348943,-0.1355624926389625,0.03735319725862761,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,75m,U,0.10466985518387441,0.16304623826268064,0.23577717811057916,0.026406843185172377,0.01925924866786426,0.038050131215028205,0.21642940773397198,0.2428362509191444,0.20791985176506605,0.21481289264027037,0.24584923004772763,0.3499168823773494,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,75m,V,0.08598256824517495,0.14169359419121402,0.24174165229857808,0.004634471526338559,0.007631885736026333,0.01366521877474758,-0.022053256581342207,-0.02471012938446811,0.23317252095372767,0.2297458595930783,-0.02448161967385664,-0.010596544979248461,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,75m,W,0.1061997090923387,0.1486905103820448,0.25605723798030494,5.41231685203255e-06,8.486066926627602e-06,1.8464924161372928e-05,1.4991262321336657e-05,1.2643392773167813e-05,0.0001299561343335158,0.00012702880143182385,-0.3160011061027477,-0.3102792217551372,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,75m,sigma0,0.11039463422327157,0.1573308077436193,0.2584278661737132,0.01697236358315626,0.014379456051746991,0.025889253893500754,23.419740531974206,23.436678096823478,0.15035341026329457,0.1481934522173895,0.03632192085088055,0.11780205976011271,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,depthavg,T,0.10868341463346386,0.16777166060937557,0.27384262073485477,0.026018818974741488,0.028641202513968823,0.057946865951040975,25.57222219188049,25.546263550848728,0.41427235571044313,0.4069438108663951,-0.5114167782409119,-0.6227502012100834,1296,96768
