config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n
density_4g_w2.0,density,density_4g,2.0,0.5,4,4,1.0,8,70,data/density_4g_w2.0__cell_+0.50.nc,1.7506086841919602e-05,2.452861617822853e-06,0.9023062497961896,3.821869012011949e-05,3.986928666958264e-05,3.6882042913076696e-06,1.2353426734848173e-06,0.43908703426277934,20736
density_6g_w0.25,density,density_6g,0.25,0.5,6,6,1.0,8,70,data/density_6g_w0.25__cell_+0.50.nc,1.2242781662422906e-05,2.5154632793028677e-07,0.977013914078095,5.713767824558786e-05,5.7033176592946254e-05,-1.4479568037270031e-06,-1.6995031316572893e-06,0.2146607009074972,20736
density_6g_w0.5,density,density_6g,0.5,0.5,6,6,1.0,8,70,data/density_6g_w0.5__cell_+0.50.nc,8.648747125902085e-06,-1.4333362045229582e-07,0.9861207936842078,5.177585059561312e-05,5.199725790289667e-05,-1.5048322932020264e-06,-1.3614986727497316e-06,0.16633083117677788,20736
density_6g_w0.75,density,density_6g,0.75,0.5,6,6,1.0,8,70,data/density_6g_w0.75__cell_+0.50.nc,9.101871884041505e-06,-3.5714507518257607e-07,0.9827848924072783,4.8607621281440794e-05,4.920903975762737e-05,-1.5481128588290724e-06,-1.190967783646496e-06,0.18496341178107872,20736
density_6g_w1.0,density,density_6g,1.0,0.5,6,6,1.0,8,70,data/density_6g_w1.0__cell_+0.50.nc,1.0106220998588424e-05,-8.644025033333422e-07,0.9770904903130325,4.701484817441485e-05,4.706490480904829e-05,-1.1676612761570956e-06,-3.0325877282375116e-07,0.2147294473364257,20736
density_6g_w1.5,density,density_6g,1.5,0.5,6,6,1.0,8,70,data/density_6g_w1.5__cell_+0.50.nc,1.3129872879953768e-05,3.024166354990168e-07,0.9542765476517866,4.311310419157306e-05,4.363422340638566e-05,1.2051915831677894e-06,9.02774947668772e-07,0.300907678765569,20736
density_6g_w2.0,density,density_6g,2.0,0.5,6,6,1.0,8,70,data/density_6g_w2.0__cell_+0.50.nc,1.748273807854822e-05,2.7522649754928876e-06,0.9032539288497919,3.8331952370563355e-05,3.986928666958264e-05,3.987607648977703e-06,1.2353426734848173e-06,0.438501401428039,20736
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,70,data/equator_1deg_w0.25__cell_+0.00.nc,2.808798597793543e-05,1.2596899825053569e-06,0.8443675914076292,4.984578145412166e-05,5.069976072700621e-05,5.015150609818644e-06,3.7554606273132873e-06,0.5540062827746999,20736
equator_1deg_w0.5,equator,equator_1deg,0.5,0.0,2,2,1.0,8,70,data/equator_1deg_w0.5__cell_+0.00.nc,2.3737816149427863e-05,2.9211817404790335e-06,0.8744125543229702,4.5682621737340005e-05,4.792595266683522e-05,5.32249465496652e-06,2.4013129144874863e-06,0.49530191532018186,20736
equator_1deg_w0.75,equator,equator_1deg,0.75,0.0,2,2,1.0,8,70,data/equator_1deg_w0.75__cell_+0.00.nc,2.1522530195433633e-05,2.5935067788149097e-06,0.886746379634445,4.411653781605079e-05,4.549298317299179e-05,5.416269239139814e-06,2.822762460324903e-06,0.4730956005587055,20736
equator_1deg_w1.0,equator,equator_1deg,1.0,0.0,2,2,1.0,8,70,data/equator_1deg_w1.0__cell_+0.00.nc,2.0466356674486716e-05,3.4126306855307224e-06,0.8925772826220243,4.3327666671177424e-05,4.3729222482841145e-05,6.834680715460821e-06,3.4220500299300974e-06,0.468024710078426,20736
equator_1deg_w1.5,equator,equator_1deg,1.5,0.0,2,2,1.0,8,70,data/equator_1deg_w1.5__cell_+0.00.nc,2.4028239961611553e-05,3.959963929166891e-06,0.8430598112591012,4.348575031072772e-05,4.0495136902677635e-05,8.875444505656352e-06,4.915480576489463e-06,0.5933611243087994,20736
equator_1deg_w2.0,equator,equator_1deg,2.0,0.0,2,2,1.0,8,70,data/equator_1deg_w2.0__cell_+0.00.nc,2.9472325676360407e-05,4.549374479951292e-06,0.7665371680301732,4.520503324232496e-05,3.691879899142692e-05,1.0668011743985435e-05,6.118637264034143e-06,0.7983013121094298,20736
equator_2deg_w0.25,equator,equator_2deg,0.25,0.0,2,2,2.0,8,70,data/equator_2deg_w0.25__cell_+0.00.nc,3.481674274064655e-05,2.93870239858116e-07,0.7299878136964976,5.0861443908597645e-05,3.9061758660735014e-05,4.198914527912133e-06,3.9050442880540174e-06,0.8913255299906512,20736
equator_2deg_w0.5,equator,equator_2deg,0.5,0.0,2,2,2.0,8,70,data/equator_2deg_w0.5__cell_+0.00.nc,2.6950517307378406e-05,5.988912302176498e-07,0.7945893404975142,4.434673419459389e-05,3.624551812803209e-05,4.506258573060008e-06,3.907367342842358e-06,0.7435544778855021,20736
equator_2deg_w0.75,equator,equator_2deg,0.75,0.0,2,2,2.0,8,70,data/equator_2deg_w0.75__cell_+0.00.nc,2.3718177543641117e-05,1.1737825379868084e-07,0.8121808636762486,4.0571130650271684e-05,3.4466433916078116e-05,4.6000331572333016e-06,4.482654903434622e-06,0.6881529316723688,20736
equator_2deg_w1.0,equator,equator_2deg,1.0,0.0,2,2,2.0,8,70,data/equator_2deg_w1.0__cell_+0.00.nc,2.0555051366716455e-05,1.0930418245052628e-06,0.8371988174809745,3.734369081279753e-05,3.3315364900715515e-05,6.018444633554308e-06,4.925402809049044e-06,0.6169841281334726,20736
equator_2deg_w1.5,equator,equator_2deg,1.5,0.0,2,2,2.0,8,70,data/equator_2deg_w1.5__cell_+0.00.nc,1.9139907683167026e-05,1.989696992159183e-06,0.8231136406765949,3.285139995406018e-05,3.0828289774057414e-05,8.059208423749844e-06,6.0695114315906595e-06,0.6208553190412015,20736
equator_2deg_w2.0,equator,equator_2deg,2.0,0.0,2,2,2.0,8,70,data/equator_2deg_w2.0__cell_+0.00.nc,2.1112296681633356e-05,3.009285231497459e-06,0.7591271840428822,3.127828492418506e-05,2.8448346265733967e-05,9.85177566207892e-06,6.842490430581462e-06,0.7421273800742195,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_-1.00.nc,4.358059246328351e-05,-2.514436180671166e-06,0.7340512045119899,6.398739467504775e-05,4.479237860171621e-05,8.903226246859533e-07,3.404758805357119e-06,0.9729465999292507,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,0.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_+0.00.nc,3.481674274064654e-05,2.9387023985811255e-07,0.7299878136964975,5.0861443908597645e-05,3.9061758660735014e-05,4.19891452791213e-06,3.9050442880540174e-06,0.8913255299906511,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,1.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_+1.00.nc,5.37558456321153e-05,-2.87075022457015e-06,0.6709681921599298,7.204531655255147e-05,5.36021392951679e-05,-4.1425531887161677e-07,2.456494905698532e-06,1.002867541090123,20736
