config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_model_mean,norm_rms,n
equator_3cell_w0.25,equator,equator_3cell,0.25,1.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_+1.00.nc,4.1285968306596216e-05,-1.2317040366069758e-06,0.7791725524544755,6.4992699462882e-05,5.723037801267017e-05,3.0493683171416084e-06,0.7213995388507823,20736
equator_3cell_w0.5,equator,equator_3cell,0.5,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_-1.00.nc,2.7058980591251167e-05,-3.970809146994379e-06,0.8560583965915822,5.177905951349248e-05,4.3957939919565606e-05,4.238273947086887e-06,0.6155652571700081,20736
equator_3cell_w0.5,equator,equator_3cell,0.5,0.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_+0.00.nc,2.3832613116336674e-05,2.3756104400370187e-06,0.8400892793272675,4.368939573702138e-05,3.586853702592327e-05,6.856897364667115e-06,0.6644434117597862,20736
equator_3cell_w0.5,equator,equator_3cell,0.5,1.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_+1.00.nc,3.074055750707276e-05,-1.5971681214965665e-06,0.8345091860385756,5.378054329070097e-05,5.2900991677025624e-05,3.5944854738988017e-06,0.5810960538273441,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_-1.00.nc,2.1010455204345104e-05,-3.3377373920009986e-06,0.8835646876585008,4.3858271053991913e-05,4.165658360368982e-05,4.783839695552518e-06,0.5043729798927644,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,0.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_+0.00.nc,2.1277222587884034e-05,3.1154910537966596e-06,0.845019143831052,3.931723477437207e-05,3.421926585889171e-05,6.674861163345496e-06,0.6217907384577992,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,1.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_+1.00.nc,2.6054563930075564e-05,-1.130075892665556e-06,0.8520974115522258,4.490890513026594e-05,4.945150723373813e-05,2.703983200416627e-06,0.5268709769942042,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,-1.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_-1.00.nc,1.834512835168948e-05,-2.5784672898727203e-06,0.8969444333056139,4.0280876601086716e-05,3.9693697891603395e-05,5.234934261658545e-06,0.46216727909268734,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,0.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_+0.00.nc,1.886723203176186e-05,3.85720600717816e-06,0.8608090063319229,3.6048246645753305e-05,3.315665940526371e-05,6.526183199642196e-06,0.569032959598054,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,1.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_+1.00.nc,2.4058833591361244e-05,-6.557510807926536e-07,0.8527731594277556,3.7889196124558084e-05,4.597836404530543e-05,2.0998147688756233e-06,0.5232642372324194,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,-1.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_-1.00.nc,1.6613793997011732e-05,-2.2944230263720295e-06,0.9003179898220527,3.735332696621304e-05,3.616976316668526e-05,5.937759868881579e-06,0.4593282494123194,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,0.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_+0.00.nc,1.7489481202811825e-05,3.980785439162374e-06,0.8479663810936762,3.11107521696043e-05,3.063608088862229e-05,6.408019852329617e-06,0.5708785424087034,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,1.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_+1.00.nc,2.5138492834530204e-05,1.4273404793795962e-06,0.7790172120576616,3.3422740398933935e-05,3.984799385971836e-05,2.224880684940881e-06,0.6308596845057806,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,-1.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_-1.00.nc,1.8079995691877866e-05,-3.581683285904833e-06,0.8794621671819717,3.7225295374198194e-05,3.2381220034459214e-05,6.837496376878322e-06,0.5583481929537437,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,0.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_+0.00.nc,1.9141357823376783e-05,4.550118287699948e-06,0.7867301922446142,2.8902593696925994e-05,2.7970122454511857e-05,6.4551377068578475e-06,0.684350161659342,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,1.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_+1.00.nc,3.0505070589804483e-05,1.5497754591910834e-06,0.653905147682039,3.7631069852810405e-05,3.545021050423997e-05,3.0956408035205106e-06,0.8605046389260783,20736
equator_hex1deg_w0.25,equator,equator_hex1deg,0.25,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.25__cell_+0.00.nc,1.0786402198359215e-05,3.1526422823907867e-07,0.9735603706141648,4.506851545759898e-05,4.708006870169381e-05,6.249971804102248e-06,0.22910761381219374,20736
equator_hex1deg_w0.5,equator,equator_hex1deg,0.5,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.5__cell_+0.00.nc,7.201933661843427e-06,-1.1467367494367366e-07,0.9864326332761735,4.158972406603238e-05,4.3314129431653694e-05,6.008535902992626e-06,0.16627215544543067,20736
equator_hex1deg_w0.75,equator,equator_hex1deg,0.75,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.75__cell_+0.00.nc,7.733789378364788e-06,-1.2005502936833394e-07,0.9826190181758429,3.998671921242809e-05,4.14591763437267e-05,6.087705669915258e-06,0.18653987031112373,20736
equator_hex1deg_w1.0,equator,equator_hex1deg,1.0,0.0,6,6,1.0,8,70,data/equator_hex1deg_w1.0__cell_+0.00.nc,8.71800360325337e-06,6.5800432324929e-08,0.9755902673660851,3.875341117190083e-05,3.969840638092854e-05,6.155169649686351e-06,0.2196058834100095,20736
equator_hex1deg_w1.5,equator,equator_hex1deg,1.5,0.0,6,6,1.0,8,70,data/equator_hex1deg_w1.5__cell_+0.00.nc,1.0787380691209949e-05,1.0864030210379237e-06,0.9549673655976099,3.5807560107248184e-05,3.571409256940901e-05,5.891126356392138e-06,0.3020482928481264,20736
equator_hex1deg_w2.0,equator,equator_hex1deg,2.0,0.0,6,6,1.0,8,70,data/equator_hex1deg_w2.0__cell_+0.00.nc,1.2903877038649033e-05,1.7334929951109995e-06,0.9253163925768978,3.363437643559178e-05,3.203897132733115e-05,6.0602604574643674e-06,0.40275565987479933,20736
equator_hex2deg_w0.25,equator,equator_hex2deg,0.25,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.25__cell_+0.00.nc,1.6739460045578665e-05,-2.2990520556241802e-06,0.8883163007936405,3.4917124057609364e-05,3.5236521928918304e-05,7.6277553387163515e-06,0.4750599414819298,20736
equator_hex2deg_w0.5,equator,equator_hex2deg,0.5,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.5__cell_+0.00.nc,1.1301329916474894e-05,-2.7096089683054394e-06,0.9452187753968481,3.225271922246931e-05,3.357275139390394e-05,6.789818808039862e-06,0.336622095218772,20736
equator_hex2deg_w0.75,equator,equator_hex2deg,0.75,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.75__cell_+0.00.nc,8.171074034383028e-06,-2.33044616704412e-06,0.9693615964843503,3.102926523466342e-05,3.1878864225895256e-05,6.8737968983042505e-06,0.25631634729777014,20736
equator_hex2deg_w1.0,equator,equator_hex2deg,1.0,0.0,4,4,2.0,8,70,data/equator_hex2deg_w1.0__cell_+0.00.nc,7.491491414154313e-06,-2.294860877911938e-06,0.9717027638083525,2.923118335441248e-05,3.0187956359532492e-05,6.914794244473902e-06,0.24816159546980116,20736
equator_hex2deg_w1.5,equator,equator_hex2deg,1.5,0.0,4,4,2.0,8,70,data/equator_hex2deg_w1.5__cell_+0.00.nc,8.616668153041367e-06,-1.5057596974745103e-06,0.950814905620449,2.6973288873817154e-05,2.711959494467224e-05,6.639768103000584e-06,0.31772849744329046,20736
equator_hex2deg_w2.0,equator,equator_hex2deg,2.0,0.0,4,4,2.0,8,70,data/equator_hex2deg_w2.0__cell_+0.00.nc,9.326101810982125e-06,-2.458534512761113e-07,0.9257780269186674,2.386212084902654e-05,2.4442282256219466e-05,6.882223964866902e-06,0.3815560966533332,20736
equator_sq1deg_w0.25,equator,equator_sq1deg,0.25,0.0,4,4,1.0,8,70,data/equator_sq1deg_w0.25__cell_+0.00.nc,2.3570859391889872e-05,-3.1311713552745557e-06,0.8337287195273027,3.9309133546645204e-05,4.1413338393147655e-05,7.787229381000204e-06,0.5691610555064539,20736
equator_sq1deg_w0.5,equator,equator_sq1deg,0.5,0.0,4,4,1.0,8,70,data/equator_sq1deg_w0.5__cell_+0.00.nc,1.6765803397018094e-05,-3.6729418432293192e-06,0.9073922794278544,3.6665724429859906e-05,3.875947636051571e-05,6.731142917386392e-06,0.4325601110054578,20736
equator_sq1deg_w0.75,equator,equator_sq1deg,0.75,0.0,4,4,1.0,8,70,data/equator_sq1deg_w0.75__cell_+0.00.nc,1.59888306913961e-05,-4.068112975474066e-06,0.9103323897986507,3.5179836949668367e-05,3.72306270741377e-05,6.798124585615979e-06,0.42945370378955444,20736
equator_sq1deg_w1.0,equator,equator_sq1deg,1.0,0.0,4,4,1.0,8,70,data/equator_sq1deg_w1.0__cell_+0.00.nc,1.744798788643428e-05,-4.636828199760719e-06,0.8832151375614135,3.327678407529284e-05,3.5666922259292495e-05,6.701369782832596e-06,0.48919241642411304,20736
equator_sq1deg_w1.5,equator,equator_sq1deg,1.5,0.0,4,4,1.0,8,70,data/equator_sq1deg_w1.5__cell_+0.00.nc,2.2578908916686842e-05,-5.2940252991419755e-06,0.7729404231182598,3.315295705510965e-05,3.189549558378473e-05,6.171943488158476e-06,0.7079027462475196,20736
equator_sq1deg_w2.0,equator,equator_sq1deg,2.0,0.0,4,4,1.0,8,70,data/equator_sq1deg_w2.0__cell_+0.00.nc,2.8211191021455633e-05,-3.7352124774415194e-06,0.627105158008578,3.4894639646768015e-05,2.845011684147054e-05,6.314763500742798e-06,0.9916019388831951,20736
equator_sq2deg_w0.25,equator,equator_sq2deg,0.25,0.0,4,4,2.0,8,70,data/equator_sq2deg_w0.25__cell_+0.00.nc,3.731662901296251e-05,-3.6445749922145576e-08,0.5111462889409956,4.1004265875600333e-05,3.322566964062948e-05,6.91059547512682e-06,1.1231264686786167,20736
equator_sq2deg_w0.5,equator,equator_sq2deg,0.5,0.0,4,4,2.0,8,70,data/equator_sq2deg_w0.5__cell_+0.00.nc,2.6119505606043166e-05,-3.9693743466357743e-07,0.6721823298360143,3.3578153078682864e-05,3.057142190099259e-05,6.370423590206883e-06,0.8543765380175241,20736
equator_sq2deg_w0.75,equator,equator_sq2deg,0.75,0.0,4,4,2.0,8,70,data/equator_sq2deg_w0.75__cell_+0.00.nc,2.148080464135549e-05,-5.209123478489576e-07,0.7239205702903496,2.9180903613867557e-05,2.8599921602414363e-05,6.581317625003834e-06,0.7510791442009447,20736
equator_sq2deg_w1.0,equator,equator_sq2deg,1.0,0.0,4,4,2.0,8,70,data/equator_sq2deg_w1.0__cell_+0.00.nc,1.8438574308919593e-05,-8.522151555000773e-07,0.7690661596494243,2.7070650945766328e-05,2.7133425313319593e-05,6.594597491727177e-06,0.6795520320786125,20736
equator_sq2deg_w1.5,equator,equator_sq2deg,1.5,0.0,4,4,2.0,8,70,data/equator_sq2deg_w1.5__cell_+0.00.nc,1.4095045949808938e-05,-1.2350575419843777e-06,0.8336064981675959,2.3864525402281032e-05,2.472949302436689e-05,6.939686451176007e-06,0.5699690622820518,20736
equator_sq2deg_w2.0,equator,equator_sq2deg,2.0,0.0,4,4,2.0,8,70,data/equator_sq2deg_w2.0__cell_+0.00.nc,1.3318196283754944e-05,-1.0908435530696334e-06,0.8067544852772823,2.0509078746416536e-05,2.196107613901659e-05,7.354853787105981e-06,0.6064455220431347,20736
shift_w0.25,shift,shift,0.25,-1.5,2,8,1.0,8,70,data/shift_w0.25__cell_-1.50.nc,3.93859529446177e-05,1.0063753599626832e-05,0.6958716767137896,4.860994461748716e-05,4.90336800168819e-05,-7.108483246724021e-06,0.8032428512617743,20736
shift_w0.25,shift,shift,0.25,-0.5,2,8,1.0,8,70,data/shift_w0.25__cell_-0.50.nc,2.405225190815587e-05,-3.7559383534644735e-06,0.9204965247076144,5.595452523275521e-05,6.079881049430641e-05,1.5223422880015786e-05,0.39560398818013515,20736
shift_w0.25,shift,shift,0.25,0.5,2,8,1.0,8,70,data/shift_w0.25__cell_+0.50.nc,2.4534323054187072e-05,-3.62689461803799e-06,0.9307510912188416,6.562933603675844e-05,6.467544452009397e-05,3.489064367709268e-06,0.379345255935033,20736
shift_w0.25,shift,shift,0.25,1.5,2,8,1.0,8,70,data/shift_w0.25__cell_+1.50.nc,3.76453614071054e-05,1.8594738461022751e-06,0.8274956034012382,6.414166641153108e-05,6.388085920527131e-05,4.4465575284240366e-06,0.5893058088986847,20736
shift_w0.5,shift,shift,0.5,-1.5,2,8,1.0,8,70,data/shift_w0.5__cell_-1.50.nc,2.6328005489267433e-05,7.708710698481915e-06,0.8518395288607448,4.560078729610275e-05,4.6794846308455566e-05,-7.78021070858339e-06,0.5626261771589601,20736
shift_w0.5,shift,shift,0.5,-0.5,2,8,1.0,8,70,data/shift_w0.5__cell_-0.50.nc,1.94872138628208e-05,-3.412162584009768e-06,0.9443019591609706,5.251578827599131e-05,5.7924085457607506e-05,1.517079948796101e-05,0.33642678531511333,20736
shift_w0.5,shift,shift,0.5,0.5,2,8,1.0,8,70,data/shift_w0.5__cell_+0.50.nc,2.0211950140442737e-05,-4.355920730951883e-06,0.9446600785504196,5.688642316007841e-05,6.0164231632056616e-05,1.7792329466870434e-06,0.33594628556136064,20736
shift_w0.5,shift,shift,0.5,1.5,2,8,1.0,8,70,data/shift_w0.5__cell_+1.50.nc,3.0104868996123878e-05,2.5896891173440003e-07,0.8592437887160616,5.527077318482132e-05,5.7824475379875784e-05,4.052900195844334e-06,0.5206250259660989,20736
shift_w0.75,shift,shift,0.75,-1.5,2,8,1.0,8,70,data/shift_w0.75__cell_-1.50.nc,2.0471409773840932e-05,5.375949369025084e-06,0.8972091892574511,4.344785165670131e-05,4.367687523237899e-05,-7.3978372993017525e-06,0.46870133600273806,20736
shift_w0.75,shift,shift,0.75,-0.5,2,8,1.0,8,70,data/shift_w0.75__cell_-0.50.nc,1.7226482529508806e-05,-3.4403140555004726e-06,0.9556784104389014,5.055192864924976e-05,5.627433510671626e-05,1.5159924610024061e-05,0.30611614507468166,20736
shift_w0.75,shift,shift,0.75,0.5,2,8,1.0,8,70,data/shift_w0.75__cell_+0.50.nc,1.9608299505817777e-05,-1.9135808366491234e-06,0.93784094767796,5.377343836827257e-05,5.613355342799781e-05,1.0935969443018386e-06,0.34931512987092883,20736
shift_w0.75,shift,shift,0.75,1.5,2,8,1.0,8,70,data/shift_w0.75__cell_+1.50.nc,2.8243537154791767e-05,7.741986964151057e-07,0.8535463303147308,5.1319667919040884e-05,5.286765773793858e-05,4.574364796608132e-06,0.5342309147644309,20736
shift_w1.0,shift,shift,1.0,-1.5,2,8,1.0,8,70,data/shift_w1.0__cell_-1.50.nc,2.029173053648209e-05,3.944166973057893e-06,0.8959353614623473,4.478630962192529e-05,4.0797360548022254e-05,-6.9279606359469795e-06,0.4973785133133025,20736
shift_w1.0,shift,shift,1.0,-0.5,2,8,1.0,8,70,data/shift_w1.0__cell_-0.50.nc,1.9683030639866317e-05,-3.697801398407282e-06,0.9339378280628126,4.986752756927138e-05,5.405901397463978e-05,1.495134702252312e-05,0.36410265731261837,20736
shift_w1.0,shift,shift,1.0,0.5,2,8,1.0,8,70,data/shift_w1.0__cell_+0.50.nc,2.282585442315526e-05,-8.532240607403852e-07,0.9060596899479236,5.142851429632869e-05,5.343164859437413e-05,1.3945571202301304e-06,0.42719727022532145,20736
shift_w1.0,shift,shift,1.0,1.5,2,8,1.0,8,70,data/shift_w1.0__cell_+1.50.nc,3.07400198703491e-05,9.958043690025787e-07,0.8037888143207332,4.907115294282031e-05,4.901974701695197e-05,4.539188943305929e-06,0.6270946249420384,20736
shift_w1.5,shift,shift,1.5,-1.5,2,8,1.0,8,70,data/shift_w1.5__cell_-1.50.nc,2.1444198384009026e-05,3.131635887175656e-06,0.8840944604024689,4.5211544081781545e-05,3.805668397701317e-05,-5.981318846766754e-06,0.5634804755180891,20736
shift_w1.5,shift,shift,1.5,-0.5,2,8,1.0,8,70,data/shift_w1.5__cell_-0.50.nc,2.5356613307403953e-05,-2.207400625490836e-06,0.8700169229221175,4.940579569586951e-05,4.967464588086121e-05,1.4058960905762073e-05,0.5104538312808269,20736
shift_w1.5,shift,shift,1.5,0.5,2,8,1.0,8,70,data/shift_w1.5__cell_+0.50.nc,2.697638119673147e-05,8.55890373708914e-07,0.8568876669440713,5.097669261655923e-05,4.9716637159591584e-05,1.8163804507193812e-06,0.542602692739186,20736
shift_w1.5,shift,shift,1.5,1.5,2,8,1.0,8,70,data/shift_w1.5__cell_+1.50.nc,3.079934545886764e-05,1.127876862115174e-06,0.7800620549674117,4.843271362390786e-05,4.3162684967197726e-05,4.926214340208851e-06,0.7135641696589119,20736
shift_w2.0,shift,shift,2.0,-1.5,2,8,1.0,8,70,data/shift_w2.0__cell_-1.50.nc,2.213700078620417e-05,1.5214451817565671e-06,0.8679547026385772,4.418146362304444e-05,3.58451629651719e-05,-5.691383944938612e-06,0.6175728872459879,20736
shift_w2.0,shift,shift,2.0,-0.5,2,8,1.0,8,70,data/shift_w2.0__cell_-0.50.nc,2.7342845714971354e-05,-4.205607054604098e-07,0.83405276002966,4.8649983613528586e-05,4.578224744102644e-05,1.3290396419698715e-05,0.5972368602085893,20736
shift_w2.0,shift,shift,2.0,0.5,2,8,1.0,8,70,data/shift_w2.0__cell_+0.50.nc,3.0166384560368296e-05,2.1816907671895125e-06,0.8108026486708267,5.07346009571162e-05,4.597321519717636e-05,2.277864940321226e-06,0.6561730440428516,20736
shift_w2.0,shift,shift,2.0,1.5,2,8,1.0,8,70,data/shift_w2.0__cell_+1.50.nc,3.3214740692321866e-05,1.0878695571812798e-07,0.7459309995899943,4.9836207192933615e-05,3.8396476389889217e-05,5.477797469791508e-06,0.8650465827918565,20736
