config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
density_6g_w2.0,density,density_6g,2.0,0.5,6,6,1.0,8,120,data/density_6g_w2.0__cell_+0.50.nc,2.876021058337664e-05,4.100385360885816e-06,0.8725872350055482,5.709652513357153e-05,5.5524773699228856e-05,9.154408177610151e-06,5.054022816724334e-06,0.5179707843415501,36936,5.737182544989667e-06,5.814256805631008e-06,4.0864480243328264e-06,33.21603932839216,72.45940731991375,66.48327896193726,19.508647421611986
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,120,data/equator_1deg_w0.25__cell_+0.00.nc,3.504222107608608e-05,-2.099870054199732e-06,0.8882109148902936,7.46123508797648e-05,7.323262505393693e-05,6.248340800813065e-06,8.348210855012797e-06,0.4785055984307125,36936,6.121230222110805e-06,6.0509938027845155e-06,3.6196242736920385e-06,61.6003766061859,103.77454816778817,89.1263100454863,10.519416206538711
equator_1deg_w0.5,equator,equator_1deg,0.5,0.0,2,2,1.0,8,120,data/equator_1deg_w0.5__cell_+0.00.nc,2.7955159744655305e-05,-4.845055513959805e-07,0.9195821082073322,6.943648869961191e-05,6.993356652879538e-05,7.143687152218969e-06,7.628192703614947e-06,0.3997387968643738,36936,5.993638832215664e-06,5.9651203804063764e-06,2.4847276027615e-06,87.55405195036334,97.69656253982019,84.61633172028971,7.401142329396336
equator_1deg_w0.75,equator,equator_1deg,0.75,0.0,2,2,1.0,8,120,data/equator_1deg_w0.75__cell_+0.00.nc,2.731381024533552e-05,9.212383892497908e-08,0.9174475546117623,6.766324795736402e-05,6.669638959195725e-05,8.026574731107834e-06,7.934450892182856e-06,0.40952456965720413,36936,6.091154490689998e-06,5.845953317317682e-06,2.5490428618224732e-06,80.34692859114963,93.86168681849114,79.38534565892148,8.065025152328952
equator_1deg_w1.0,equator,equator_1deg,1.0,0.0,2,2,1.0,8,120,data/equator_1deg_w1.0__cell_+0.00.nc,2.7240659180798857e-05,2.1211049980542754e-06,0.9140874919597093,6.640189818466016e-05,6.42306559963277e-05,1.0517526396586752e-05,8.396421398532477e-06,0.42410681874954387,36936,6.11737424438622e-06,5.741415765012666e-06,2.8444503510459096e-06,62.946091630274836,91.0564396925581,76.95196726971155,10.294523189877209
equator_1deg_w1.5,equator,equator_1deg,1.5,0.0,2,2,1.0,8,120,data/equator_1deg_w1.5__cell_+0.00.nc,3.421844780059593e-05,4.0669680103848596e-06,0.8617854066528658,6.686390049110348e-05,5.9600739691986744e-05,1.36916426197865e-05,9.62467460940164e-06,0.5741279047447219,36936,6.588487249976642e-06,5.459699774495076e-06,5.364586269012796e-06,28.087072153020404,87.39877392391166,68.33529575879906,23.071112448803813
equator_1deg_w2.0,equator,equator_1deg,2.0,0.0,2,2,1.0,8,120,data/equator_1deg_w2.0__cell_+0.00.nc,4.2920075550385185e-05,6.082277333015217e-06,0.7896402027953234,6.924510795793117e-05,5.480659478030015e-05,1.6887354352022713e-05,1.0805077019007495e-05,0.7831188148513198,36936,7.42160014701317e-06,5.106410878183008e-06,7.828571372423235e-06,20.86551751673545,85.21510187213246,58.44700383299619,31.056023387882107
equator_2deg_w0.25,equator,equator_2deg,0.25,0.0,2,2,2.0,8,120,data/equator_2deg_w0.25__cell_+0.00.nc,4.732021811887234e-05,-2.563865251671866e-06,0.7393264032625465,6.979059073253955e-05,5.652341110744291e-05,5.637538571297889e-06,8.201403822969753e-06,0.8371790943211721,36936,1.0304394744562872e-05,4.942160030239915e-06,6.270642765243404e-06,37.901538602063226,88.91405183873637,28.727359449744007,17.09693125663044
equator_2deg_w0.5,equator,equator_2deg,0.5,0.0,2,2,2.0,8,120,data/equator_2deg_w0.5__cell_+0.00.nc,3.988602357277372e-05,-1.6419656208201375e-06,0.785195866975704,6.412237742493815e-05,5.374032915576733e-05,6.532884922703792e-06,8.174850543523929e-06,0.7421990932947833,36936,9.60111844992669e-06,4.880570446982437e-06,5.5521983820693045e-06,33.43805788865277,85.02035761139153,28.667241788833135,19.37911592108043
equator_2deg_w0.75,equator,equator_2deg,0.75,0.0,2,2,2.0,8,120,data/equator_2deg_w0.75__cell_+0.00.nc,3.717821231871703e-05,-1.1384675708639963e-06,0.7943770195380376,6.0944753653105416e-05,5.1651900979595175e-05,7.415772501592659e-06,8.554240072456657e-06,0.7197840082091868,36936,9.223724341059402e-06,4.828496878367475e-06,5.112702311111049e-06,34.271222199885734,81.88286077722196,28.433707581145978,18.907992140477575
equator_2deg_w1.0,equator,equator_2deg,1.0,0.0,2,2,2.0,8,120,data/equator_2deg_w1.0__cell_+0.00.nc,3.230701918472206e-05,9.820404962646815e-07,0.8209493476752934,5.6161707019862286e-05,4.9900295258927035e-05,9.906724167071576e-06,8.924683670806892e-06,0.6474314233429795,36936,6.39275170033485e-06,4.7706143507023575e-06,4.550596316736455e-06,32.684754058086945,79.46860449437376,50.894233545387586,19.825757258212263
equator_2deg_w1.5,equator,equator_2deg,1.5,0.0,2,2,2.0,8,120,data/equator_2deg_w1.5__cell_+0.00.nc,2.988694526458825e-05,3.08680469526193e-06,0.8167784071989972,5.0885858379718926e-05,4.6228249294811586e-05,1.3080840390271328e-05,9.994035695009399e-06,0.6465082654112667,36936,5.619258077956311e-06,4.5386312748176085e-06,4.49033007503979e-06,29.21505691663905,76.54532022523244,53.599906980871154,22.180343575881935
equator_2deg_w2.0,equator,equator_2deg,2.0,0.0,2,2,2.0,8,120,data/equator_2deg_w2.0__cell_+0.00.nc,3.318610607964247e-05,5.511626301997267e-06,0.7610287456256055,4.981906987615342e-05,4.305688458345735e-05,1.6276552122507535e-05,1.0764925820510266e-05,0.7707502853653448,36936,5.674273193363596e-06,4.299840183141707e-06,5.661316240001747e-06,22.967145999263508,74.88086263649386,49.79332629415217,28.214215210752766
equator_3cell_w0.25,equator,equator_3cell,0.25,-1.0,2,6,2.0,8,120,data/equator_3cell_w0.25__cell_-1.00.nc,6.45506746240101e-05,-3.410424248836637e-06,0.6337124935913039,8.323406607692866e-05,5.5818711986320385e-05,2.152965406635094e-06,5.56338965547173e-06,1.1564343268943518,36936,1.2071577559736858e-05,8.640104697368937e-06,8.392549446490135e-06,42.063315196956154,33.76031456297835,34.57188413059974,15.405347794528842
